100 0.0
110 0.0
120 0.0
130 0.0
140 0.0
150 0.0
160 0.0
170 0.0
180 0.0
190 0.0
200 0.0
210 0.0
220 0.0
230 0.0
240 0.0
250 0.0
260 0.0
270 0.0
280 0.0
290 0.0
300 0.0
310 0.0
320 0.0
330 0.0
340 0.004
350 0.002
360 0.002
370 0.01
380 0.016
390 0.016
400 0.022
410 0.042
420 0.046
430 0.086
440 0.088
450 0.114
460 0.182
470 0.16
480 0.218
490 0.228
500 0.31
510 0.32
520 0.33
530 0.362
540 0.442
550 0.53
560 0.552
570 0.608
580 0.61
590 0.642
600 0.62
610 0.686
620 0.7
630 0.75
640 0.788
650 0.778
660 0.822
670 0.782
680 0.856
690 0.846
700 0.848
710 0.88
720 0.888
730 0.926
740 0.904
750 0.918
760 0.914
770 0.908
780 0.948
790 0.944
800 0.948
810 0.962
820 0.956
830 0.972
840 0.97
850 0.972
860 0.968
870 0.968
880 0.974
890 0.978
900 0.98
910 0.984
920 0.992
930 0.984
940 0.982
950 0.984
960 0.992
970 0.99
980 0.988
990 0.994
